index,station,date,prcp
150,MX000017004,2010-09-28,0.0
151,MX000017004,2010-09-29,0.0
152,MX000017004,2010-09-30,0.0
153,MX000017004,2010-10-01,0.0
154,MX000017004,2010-10-02,0.0
155,MX000017004,2010-10-04,0.0
156,MX000017004,2010-10-05,0.0
157,MX000017004,2010-10-06,0.0
158,MX000017004,2010-10-07,0.0
159,MX000017004,2010-10-08,0.0
160,MX000017004,2010-10-09,0.0
161,MX000017004,2010-10-10,0.0
162,MX000017004,2010-10-11,0.0
163,MX000017004,2010-10-12,0.0
164,MX000017004,2010-10-13,0.0
165,MX000017004,2010-10-14,0.0
166,MX000017004,2010-10-15,0.0
167,MX000017004,2010-10-16,0.0
168,MX000017004,2010-10-17,0.0
169,MX000017004,2010-10-18,0.0
170,MX000017004,2010-10-19,0.0
171,MX000017004,2010-10-20,0.0
172,MX000017004,2010-10-21,0.0
173,MX000017004,2010-10-22,0.0
174,MX000017004,2010-10-23,0.0
175,MX000017004,2010-10-26,0.0
176,MX000017004,2010-10-27,0.0
177,MX000017004,2010-10-28,0.0
178,MX000017004,2010-10-29,0.0
179,MX000017004,2010-10-30,0.0
180,MX000017004,2010-10-31,0.0
181,MX000017004,2010-11-01,0.0
182,MX000017004,2010-11-02,0.0
183,MX000017004,2010-11-04,0.0
184,MX000017004,2010-11-05,0.0
185,MX000017004,2010-11-06,0.0
186,MX000017004,2010-11-08,0.0
187,MX000017004,2010-11-09,0.0
188,MX000017004,2010-11-10,0.0
189,MX000017004,2010-11-11,0.0
190,MX000017004,2010-11-12,0.0
191,MX000017004,2010-11-13,0.0
192,MX000017004,2010-11-16,0.0
193,MX000017004,2010-11-17,0.0
194,MX000017004,2010-11-18,0.0
195,MX000017004,2010-11-19,0.0
196,MX000017004,2010-11-22,0.0
197,MX000017004,2010-11-23,0.0
198,MX000017004,2010-11-24,0.0
199,MX000017004,2010-11-25,0.0
200,MX000017004,2010-11-26,0.0
201,MX000017004,2010-11-27,0.0
202,MX000017004,2010-11-30,0.0
203,MX000017004,2010-12-01,0.0
204,MX000017004,2010-12-02,0.0
205,MX000017004,2010-12-03,0.0
206,MX000017004,2010-12-06,0.0
207,MX000017004,2010-12-07,0.0
208,MX000017004,2010-12-08,0.0
209,MX000017004,2010-12-09,0.0
210,MX000017004,2010-12-10,0.0
211,MX000017004,2010-12-11,0.0
212,MX000017004,2010-12-14,0.0
213,MX000017004,2010-12-15,0.0
214,MX000017004,2010-12-16,0.0
215,MX000017004,2010-12-17,0.0
216,MX000017004,2010-12-19,0.0
217,MX000017004,2010-12-21,0.0
218,MX000017004,2010-12-23,0.0
219,MX000017004,2010-12-24,0.0
220,MX000017004,2010-12-28,0.0
221,MX000017004,2010-12-29,0.0
222,MX000017004,2010-12-30,0.0
223,MX000017004,2010-12-31,0.0
